City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao joao da barra,-21.6403,-41.0511,21.44,91,57,4.25,BR,1694136336
1,blackmans bay,-43.0167,147.3167,15.94,49,2,2.55,AU,1694136496
2,chernyshevskiy,63.0128,112.4714,1.82,73,100,2.9,RU,1694136497
3,okha,53.5739,142.9478,17.21,76,100,8.41,RU,1694136497
4,ust-nera,64.5667,143.2,7.8,75,100,1.93,RU,1694136498
5,wailua homesteads,22.0669,-159.378,28.44,64,0,6.17,US,1694136498
6,agat village,13.3886,144.6585,30.2,90,40,2.06,GU,1694136498
7,adamstown,-25.066,-130.1015,18.85,72,54,7.33,PN,1694136499
8,saldanha,-33.0117,17.9442,6.03,87,91,3.64,ZA,1694136499
9,opuwo,-18.0607,13.84,18.01,53,61,1.56,NA,1694136500
10,sisimiut,66.9395,-53.6735,2.73,99,100,5.32,GL,1694136500
11,leava,-14.3,-178.1667,26.24,71,51,7.34,WF,1694136500
12,janossomorja,47.7862,17.136,18.44,53,0,1.55,HU,1694136501
13,port-aux-francais,-49.35,70.2167,3.4,78,65,19.39,TF,1694136501
14,jamestown,42.097,-79.2353,20.77,98,40,2.57,US,1694136379
15,bilibino,68.0546,166.4372,8.06,47,100,1.92,RU,1694136502
16,san sebastian de la gomera,28.0916,-17.1133,23.54,83,0,1.03,ES,1694136502
17,guatire,10.4762,-66.5427,25.11,98,100,0.85,VE,1694136503
18,grytviken,-54.2811,-36.5092,-2.19,81,100,6.84,GS,1694136503
19,port elizabeth,-33.918,25.5701,11.16,93,0,1.54,ZA,1694136504
20,kuna,43.4918,-116.4201,29.45,36,0,3.09,US,1694136504
21,margaret river,-33.95,115.0667,13.31,56,100,5.58,AU,1694136504
22,lyubashivka,47.8372,30.2598,12.42,43,0,3.27,UA,1694136505
23,malpica,43.3228,-8.8105,20.13,75,16,2.04,ES,1694136505
24,talnakh,69.4865,88.3972,4.56,56,90,0.97,RU,1694136505
25,harper,4.375,-7.7169,24.17,91,64,3.13,LR,1694136506
26,ust-tsilma,65.441,52.1498,8.25,96,100,3.46,RU,1694136506
27,college,64.8569,-147.8028,12.26,58,75,0.45,US,1694136507
28,waitangi,-43.9535,-176.5597,12.68,83,11,2.68,NZ,1694136507
29,kushiro,42.975,144.3747,20.53,56,40,4.12,JP,1694136507
30,saipan,15.1355,145.701,29.39,74,75,5.14,MP,1694136508
31,nagqu,31.5,92.0,3.29,91,100,1.37,CN,1694136508
32,geraldton,-28.7667,114.6,20.23,22,0,9.77,AU,1694136381
33,labasa,-16.4167,179.3833,27.63,48,68,2.76,FJ,1694136509
34,santa ana,33.7456,-117.8678,34.12,63,0,3.09,US,1694136226
35,avarua,-21.2078,-159.775,24.03,69,75,5.14,CK,1694136430
36,hamilton,39.1834,-84.5333,22.69,89,100,6.17,US,1694135839
37,mayya,61.7333,130.2811,2.62,61,100,4.13,RU,1694136511
38,punta arenas,-53.15,-70.9167,5.06,93,75,2.57,CL,1694136511
39,charters towers,-20.1,146.2667,28.78,45,8,3.1,AU,1694136511
